source,target,edge_type,synthetic_output_btc,is_change_output
200165930,39617084,original,0.08931079,1
230432611,230966618,original,0.02834562,1
89273,230512979,original,0.05053915,1
230530178,232070456,original,0.08864603,0
232436036,230674241,original,0.08508006,0
230330969,232918438,original,0.11063289,0
230335026,232698839,original,0.04423749,1
230918484,40297647,original,0.02995803,1
230459131,230559672,original,0.04524506,1
230447404,3877919,original,0.00657289,1
54492406,4855592,original,0.00876898,1
231995264,232468876,original,0.01018092,1
231994250,232910950,original,0.0150452,1
3907739,230438749,original,0.08043781,1
232687445,189305695,original,0.01679667,1
2819887,232956426,original,0.03162539,1
230530380,2881274,original,0.23670846,1
230474094,230473989,original,0.03246747,1
75604389,75604980,original,0.12063554,1
232440027,232448376,original,0.01623897,1
230471946,231429973,original,0.03890918,1
79642404,71136742,original,0.01592243,1
232897313,231168875,original,0.03314579,1
230537133,230537117,original,0.13647276,0
232040268,230467682,original,0.00626495,1
2756358,232432897,original,0.08385286,1
66396856,13805515,original,0.06622367,1
230470027,2893869,original,0.02440469,1
232634676,232364856,original,0.00878008,1
232440939,79642776,original,0.05428841,1
42953128,230424236,original,0.02637361,1
230449513,230449518,original,0.06582283,1
230529171,14580549,original,0.05110988,1
86655785,230577422,original,0.34032122,1
232457903,11011839,original,0.03735731,1
230471924,232894488,original,0.01457865,1
230391412,232029206,original,0.06173716,0
2893846,2881274,original,0.06482889,0
230334809,43560505,original,0.25436758,1
89273,230465219,original,0.13562433,1
230541525,2880930,original,0.07640136,1
230452144,2706899,original,0.28821846,1
230681119,232472581,original,0.01195608,1
232345632,230463877,original,0.0231051,1
89273,232916687,original,0.01637677,1
232431856,230683178,original,0.03118644,1
230349226,233221331,original,0.00954227,1
81167039,230594121,original,0.10669096,1
232440137,230639246,original,0.0381333,1
232399274,232399270,original,0.00852316,1
230659151,230658142,original,0.01471784,1
230467618,230467684,original,0.07252794,1
230531179,2881274,original,0.13611596,0
230437680,19617883,original,0.5466629,1
230411721,35574259,original,1.64318258,1
232957846,232415197,original,0.08186296,1
232675389,147419328,original,0.01518502,1
233599193,233599189,original,0.00385473,1
230591601,230555921,original,0.06864917,1
60519306,230097992,original,0.01876936,1
89273,232440137,original,0.03024487,0
21763735,2758467,original,0.02388472,1
231990423,12971085,original,0.04204776,1
230344670,43560505,original,0.17891871,1
230521269,230521266,original,0.06011224,1
232431922,2758467,original,0.04115698,1
3272536,230724244,original,0.01436753,1
232047899,232438397,original,0.00667344,1
230540205,232608734,original,0.02777637,1
230597986,3878899,original,0.04667535,1
230351534,43560505,original,0.41541216,1
230586873,230667453,original,0.0582116,1
75597397,90545645,original,0.16191033,1
232064964,206139323,original,0.02734683,1
230437630,230649117,original,0.012011,1
14550424,232353291,original,0.01563661,1
183402062,82950160,original,0.02085271,1
79642776,232447742,original,0.64028857,1
230401350,230401687,original,0.0185801,1
21018157,230724244,original,0.1361752,1
230347366,43560505,original,0.01684818,1
230658525,232450626,original,0.15226812,1
2864954,33972940,original,0.07901964,1
1913117,233227310,original,0.04125572,1
232673945,232673949,original,0.04741034,1
232354199,232346251,original,0.02269195,1
232959350,80044108,original,0.08503321,1
75604058,232068042,original,0.02884034,1
232361296,232361286,original,0.011439,1
75600754,75597795,original,0.01074274,1
231996124,230473483,original,0.06124369,1
230457910,2881274,original,0.33118091,0
230523211,230523207,original,0.06032492,1
95906596,230578500,original,0.04318051,1
232035051,232036661,original,0.07015778,1
31730193,230569374,original,0.23864029,1
230335074,230440142,original,0.06478113,1
232431890,2758467,original,0.03040608,0
7196549,232418399,original,0.18778576,1
230400857,230400870,original,0.08328455,0
232015620,49558738,original,0.31439887,1
233599185,233599198,original,0.06203115,1
232065266,232073363,original,0.01145461,1
232009878,232009889,original,0.00964042,1
232342532,183402062,original,0.36099669,1
3877856,230437700,original,0.39392248,1
5662056,230522934,original,0.04013835,1
230445151,2880930,original,0.03143527,0
32877982,232899771,original,0.28757636,1
22013857,232903082,original,0.01318791,1
222399481,232893753,original,0.01701479,1
230456357,232922109,original,0.10774286,1
230645753,76866419,original,0.0310075,1
230418806,230428367,original,0.049482,1
230439622,93518448,original,0.0409202,1
40623301,2920819,original,0.07465255,1
230472251,230473461,original,0.2695445,0
232470505,232470504,original,0.05550412,1
232957892,3204359,original,0.10782201,1
232054853,105586706,original,0.00425268,1
233097530,3717740,original,0.04695986,1
230456360,230456357,original,0.0180994,1
230444451,16555074,original,0.01153262,1
232017363,230451735,original,0.01735659,1
79111639,232403460,original,0.03334164,1
232904009,233220194,original,0.14943154,1
230528722,230528710,original,0.0101359,1
232342530,199529191,original,0.05165118,1
232017777,232054860,original,0.02784774,1
230530309,2881273,original,0.03360072,1
75598059,61820358,original,0.16584683,1
3875116,230520120,original,0.09496361,1
230531174,230531529,original,0.24780274,1
232446225,182442258,original,0.04136142,1
230440527,230456382,original,0.02159851,1
232404259,2758467,original,0.03805851,0
230658164,230658142,original,0.06660312,1
75600755,230425547,original,0.06153729,1
232000581,230716290,original,0.0135514,1
73325019,43560505,original,0.05549778,1
230423321,230681123,original,0.06547244,0
232654975,192392088,original,1.02119024,1
232037400,232037399,original,0.47341331,1
230517591,3385562,original,0.01788323,1
230464746,230464556,original,0.03526515,1
2713814,185535373,original,0.00859882,1
19146132,232354183,original,0.02450573,1
14942862,195237909,original,0.07271017,0
230421654,183321578,original,0.21161734,1
232392936,232392931,original,0.0207564,1
3876606,232460526,original,0.02270941,1
230458741,230458655,original,0.00378486,1
230692824,230551388,original,0.04095837,1
34162816,230539732,original,0.01391348,1
232431910,2758467,original,0.0263753,0
76866739,87889632,original,0.01738352,1
230444448,4996915,original,0.04446224,1
230464771,20510018,original,0.00604047,1
230334719,232000584,original,0.00856172,1
203812102,232431931,original,0.64088614,1
230673815,232383231,original,0.01062116,1
232034284,198358107,original,0.01335128,1
198363083,198426420,original,0.45126354,1
1913117,2923374,original,1.62593105,1
53204358,230586868,original,0.01220536,0
232034284,2754445,original,0.03200386,1
7460711,230470030,original,0.07501004,1
230390238,230456623,original,0.3963083,1
232903064,113492022,original,0.01523395,1
232903069,99506340,original,0.03709276,1
2713749,56588535,original,0.12654024,1
232012309,230411297,original,0.08388733,1
230470029,230470027,original,0.03170163,1
230438482,230438479,original,0.04240082,1
232412807,80044762,original,0.0095628,1
89273,5197391,original,0.03741033,1
106306280,230411659,original,0.03616495,1
76864781,230692824,original,0.06578285,1
37001822,86977694,original,0.02556854,1
230540192,230516994,original,0.08767191,1
54735213,219837311,original,0.16784052,1
234017978,230530258,original,0.05999555,1
3416106,74325541,original,0.07593388,1
232010758,4988292,original,0.05306628,1
230411274,195237909,original,0.04979211,1
232670457,232673585,original,0.0209447,1
230537141,230537117,original,0.0727878,0
230530176,232067342,original,0.04430118,1
230345439,29115493,original,0.61373132,1
14713336,230537117,original,0.32890901,1
230336239,232019233,original,0.07910461,1
230530819,230455738,original,0.01992722,1
232639903,231429973,original,0.01310327,1
232921306,76867053,original,0.20791448,1
230544483,87823727,original,0.0682416,1
230452736,45936391,original,0.08858188,1
232000938,232000936,original,0.00613648,1
232895310,94251207,original,0.15151452,1
230331387,231993291,original,0.08588934,1
230472718,27533958,original,0.01313445,1
230522939,166888820,original,0.02827352,1
230548582,230548586,original,0.06832091,1
3908453,2881273,original,0.05302245,1
232440020,232440017,original,0.03506312,1
230409254,76865205,original,0.04397272,1
234469371,232431871,original,0.03679575,1
76865983,3907701,original,0.05978951,1
75604333,2912780,original,0.29106472,1
234442906,13341989,original,0.0022882,1
230465231,5530776,original,0.03746979,1
219821008,232039868,original,0.06153279,1
230437116,230543170,original,0.07101904,1
232419988,230673838,original,0.03186339,1
230530317,230923479,original,0.00604777,1
230642649,231827038,original,0.07379935,1
232897813,232431861,original,0.39566802,1
232431916,231367273,original,0.00790205,1
232018604,37001822,original,0.14037942,1
232431852,2758467,original,0.03356638,1
75604019,232067357,original,0.04625484,1
230645829,230649107,original,0.01407327,1
3891191,3851887,original,0.03332833,1
202251566,102053373,original,0.23694044,1
232347599,232069314,original,0.1001773,1
232038134,232061952,original,0.39803073,1
230531160,2881274,original,0.20451668,1
230548931,230548930,original,0.08432339,1
226890719,230540196,original,0.40362116,1
232949441,232415197,original,0.08431393,1
10818605,230465660,original,0.13447,0
232349072,20299716,original,0.03487848,1
214488573,230473461,original,0.05392587,1
230543312,87823631,original,0.02156015,1
230659451,230658142,original,0.16324563,1
84064852,232022782,original,0.01210709,1
1050220,230686565,original,0.12730372,1
86353799,232472561,original,0.03960574,1
232673957,232673961,original,0.2030093,1
3114489,107227719,original,0.12258419,1
232002739,232910950,original,0.44253992,1
230439786,232907894,original,0.11966365,1
230530242,2881273,original,0.00754818,0
64231211,70107574,original,0.04594346,1
36340051,232037090,original,0.01219891,1
232343709,230451735,original,0.02673088,0
230444459,232377087,original,0.30528,1
230451739,230451730,original,0.10699647,1
13285375,230528710,original,0.02152121,1
230901179,230528715,original,0.01475076,1
36411963,232383257,original,0.05178465,1
230457906,230649780,original,0.01156384,1
232064265,230457905,original,0.022251,1
75600731,75597414,original,0.07239713,1
75604392,231263589,original,0.19916422,1
230457093,230457090,original,0.10336527,1
232068008,232068006,original,0.00318422,1
1913117,233842379,original,0.07173619,1
232457179,232457182,original,0.05428216,1
230458430,230458280,original,0.08181197,1
232448785,232448783,original,0.34626587,1
15478526,3863322,original,0.00418652,1
35558560,230531926,original,0.02449407,1
35864386,88003736,original,0.10117411,1
156330450,202251566,original,0.00746214,1
75601025,230455579,original,0.29262565,1
230438482,232440028,original,0.07746167,1
231063238,2836713,original,0.13750442,1
3877118,232438397,original,0.02509385,1
230400467,234421612,original,0.13219415,1
230397187,12971085,original,0.1794544,1
230847087,230847009,original,0.06583877,1
231994209,231994210,original,0.0659592,1
89273,230872133,original,0.06886632,1
230659440,51140228,original,0.01766775,1
13289755,27434286,original,0.04170916,1
232643045,232349125,original,0.04145996,1
230454323,230454330,original,0.07887213,1
73119118,232031824,original,0.16526403,0
34381791,2881273,original,0.01397838,0
37233985,230424544,original,0.04285166,1
232067357,232473204,original,0.29456566,1
232068053,230445153,original,0.02039826,1
5529846,232374910,original,0.01856086,1
75605340,75604075,original,0.06346717,1
230540580,230540579,original,0.13714209,1
232039890,232039888,original,0.05047441,1
232441173,232440939,original,0.24530639,1
232023544,232023929,original,0.13919949,1
89273,230453424,original,0.13672059,0
89273,34923889,original,0.09680465,0
179510554,232018768,original,0.81316903,1
230411328,232918438,original,0.03892206,1
13593219,232431912,original,0.00449753,1
232047414,232047419,original,0.34133367,1
230437681,118545988,original,0.0287465,1
88003736,89609627,original,0.05666812,1
230339477,232039381,original,0.23965877,1
63414613,3420529,original,0.00727937,1
2718195,2865010,original,0.01108706,1
203465969,232956033,original,0.00728795,1
230351401,27405707,original,0.01919772,1
7089694,60492027,original,0.08437905,1
230468058,3882798,original,0.09338967,1
15012778,232893748,original,0.06935819,1
232002810,230457868,original,0.00913795,1
232012741,79821391,original,0.00311314,1
232348835,232383244,original,0.05314264,1
232403116,230575475,original,0.02826499,1
230473314,230523246,original,0.08640264,1
231996526,230529178,original,0.1155958,1
230458101,230969919,original,0.05877079,1
230348386,232582209,original,0.12395455,1
89273,230457870,original,0.06554972,0
230473575,7089694,original,0.0940506,1
3891764,230457906,original,0.0213734,1
166890898,166890641,original,0.04013391,1
232679753,231573972,original,0.06304739,1
230645767,230658142,original,0.13327164,1
93274562,230401350,original,0.03103966,1
232959353,230579331,original,0.09305177,1
232406370,232406279,original,0.03618877,1
231995683,230473477,original,0.04323735,1
206225929,11340045,original,0.13471725,1
230453435,230453424,original,0.00455435,1
232450629,232450627,original,0.01050644,1
232051527,231166088,original,0.00840757,1
232431881,232470496,original,0.00302653,1
230457037,232472560,original,0.02206159,1
74129181,232393752,original,0.12237327,1
230530241,2881273,original,0.03537108,1
89273,230670900,original,0.06312415,1
230438474,230438471,original,0.18397802,1
230409256,230409255,original,0.24493151,1
230576390,75600719,original,0.04582317,1
231994045,230645817,original,0.25266345,1
230468042,230468036,original,0.0556069,1
230427094,230468693,original,0.01822652,1
230459688,232803366,original,0.02439736,1
230350799,230594674,original,0.00842422,1
230595713,37017453,original,0.01714994,1
231995763,230473483,original,0.03239925,1
230596505,31188978,original,0.1305893,1
51261592,230658142,original,0.39255595,1
99506349,14648097,original,0.00947956,1
76866773,33527989,original,0.07977006,1
230439799,230439794,original,0.01428346,1
146601712,230437684,original,0.08800484,1
232947878,232947876,original,0.04254028,1
3234247,230454028,original,0.00553266,1
59397801,230555921,original,0.15167069,1
230530183,2881273,original,0.02408898,0
12829345,232951102,original,0.02623449,1
232064968,75597659,original,0.0137915,1
234094979,100197784,original,0.02270569,1
230399797,230399793,original,0.08319804,1
232072340,230405994,original,0.03967265,0
230457905,76864777,original,0.0738584,1
91411167,232029206,original,0.07686584,1
230546611,230546615,original,0.24287557,1
232457915,232457913,original,0.03299684,1
232901095,57801713,original,0.0084615,1
232431866,232403829,original,0.17918561,1
36991677,234469371,original,0.03344725,1
232068048,230455932,original,0.1896663,1
232039861,230468700,original,0.07887054,1
3408976,232047756,original,0.04253768,1
230547959,87823197,original,0.07566278,1
233599184,233599199,original,0.51747973,1
230392794,232363570,original,0.60192443,0
232423713,205393465,original,0.05410966,1
232036612,232380260,original,0.06033932,1
230599182,12456268,original,0.18113516,1
232034707,71724941,original,0.01804669,1
232654975,233344558,original,0.07425014,0
230665248,232468570,original,0.04826564,1
230444788,232377087,original,0.07256227,1
75607141,232004525,original,0.01831486,1
232065018,230677203,original,0.00739108,1
230453424,2717498,original,0.00413785,0
230391415,78404120,original,0.01302531,1
232908775,92571082,original,0.02871286,1
230575202,20664692,original,0.03502021,1
230847017,230946668,original,0.50899219,1
232068030,75600862,original,0.18771922,1
230590944,5157112,original,0.01569349,1
2544322,105601443,original,0.07556592,1
230531551,230531547,original,0.03054684,1
230969607,230968958,original,0.03539316,1
230518043,232406237,original,0.06218701,1
230531178,2881274,original,0.10466457,1
89273,232941800,original,0.03313682,1
232431870,2758467,original,0.17846225,1
232906716,232448383,original,0.01264712,1
71369016,230649126,original,0.05016724,1
230349595,230596503,original,1.1243538,1
230590626,232018284,original,0.06506918,1
89273,84863672,original,0.27799766,1
2819930,9763856,original,0.05556644,1
219841227,232013258,original,0.09995177,1
3402165,232456339,original,0.04650759,1
232034945,230438483,original,0.04057963,1
14660781,217239370,original,0.0195383,1
45936391,232376719,original,0.08343909,1
232902705,14199066,original,0.01791988,1
232341802,230459325,original,0.11065946,1
87977367,14187387,original,0.18311231,1
232345644,233747450,original,0.07729219,1
232058910,232456882,original,0.0353132,1
232470465,232431851,original,0.08584248,1
232398773,232903071,original,0.03437562,1
230530295,232467632,original,0.15299601,1
3157662,231133568,original,0.00552934,1
230645830,231036638,original,0.03328232,1
195498536,232448783,original,0.00456665,1
89273,231036727,original,0.00827867,1
89273,230446342,original,0.25579848,1
230473481,230473461,original,0.14576231,1
230417492,88669591,original,0.02099699,1
230426815,14939186,original,0.00820506,1
3881866,232458909,original,0.00141952,1
89273,230446331,original,0.02593415,1
230338249,230436750,original,0.90891656,1
3378829,230442067,original,0.08389923,1
88008479,230451713,original,0.02543862,1
230541551,87823728,original,0.08699508,1
230411271,230411268,original,0.00764923,1
230428743,232903605,original,0.03484701,1
230450893,87890684,original,0.05609958,1
232008929,232029206,original,0.04489985,1
232459969,54732579,original,0.12860203,1
28734348,230537117,original,0.07528866,0
230659457,230658142,original,0.11102401,1
14199065,232675741,original,0.02179561,1
230594088,230594094,original,0.14622313,1
230463877,230463874,original,0.35159488,1
21488894,230649112,original,0.01554246,1
232453418,231836233,original,0.01715896,1
109963501,3882798,original,0.24732332,1
230402449,230402450,original,0.03957282,1
232009949,230468697,original,0.26836311,1
232403825,54900163,original,0.02927437,1
230452750,232429322,original,0.28537667,1
230546608,230546611,original,0.05829628,1
231987305,230670907,original,0.06787243,1
230439297,232392089,original,0.32551772,1
2826263,232910950,original,0.03225363,1
232468004,182448481,original,0.01609339,1
3110874,27571908,original,0.02906336,1
232440111,232444502,original,0.08567457,1
52295096,232451370,original,0.00760529,1
230541867,230541863,original,0.10698839,1
230468668,232409481,original,0.02608159,1
2225506,31181479,original,0.19737993,1
73191409,3740213,original,0.0028141,1
82535029,2881273,original,0.01937292,1
230336259,230411328,original,0.00657973,1
230455597,230455594,original,0.01847244,1
230439411,230439414,original,0.06701754,1
57399959,230409257,original,0.04015244,1
12639273,230658142,original,0.03673398,1
230456321,76866425,original,0.04112982,1
75598046,76865960,original,0.06354963,1
230411642,5675047,original,0.01484276,1
89273,230421654,original,0.11627695,0
232022790,230412856,original,0.11027249,1
89273,230412050,original,0.07902789,1
232016530,232016533,original,0.09708583,1
232356999,230557037,original,0.07105519,0
232959352,230579331,original,0.57240297,1
232462281,232462210,original,0.04484635,1
232368272,231063238,original,0.03444127,1
230468728,51489086,original,0.02015641,1
232696994,232342103,original,0.01442611,0
2862997,230414049,original,0.01118294,1
232424382,230642316,original,0.01713629,1
230591531,232359373,original,0.04573843,1
230432972,232043907,original,0.07435935,1
232051671,232051667,original,0.05293823,1
232438397,92491280,original,0.01986805,1
230330859,29610273,original,0.14663944,1
230461379,3880117,original,0.12091049,1
232432878,2880930,original,0.04110695,1
192827077,3197858,original,0.02274297,1
232380234,99506339,original,0.09614609,1
114809088,232408659,original,0.06238492,1
232022782,232022790,original,0.00875831,1
89273,230447409,original,0.04588687,1
232019373,230555002,original,0.0681832,1
230530236,2881273,original,0.01691366,0
230345455,232354183,original,0.06252505,0
230575202,230570337,original,0.00868822,1
75604046,230468696,original,0.24744259,1
230471915,230471902,original,0.22258193,1
232038018,230417053,original,0.03677192,1
75604019,230530304,original,0.07700732,1
230578084,2758467,original,0.00276171,0
230659118,230658142,original,0.01243031,1
37231944,56812775,original,0.03499554,1
230399173,54735269,original,0.01375216,1
230453432,230453424,original,0.11733476,1
230541517,87823718,original,0.54703409,1
232903082,2476099,original,0.01213165,0
230436736,234466542,original,0.01822509,1
89273,230424162,original,0.06604216,0
230642389,76867055,original,0.34415587,1
5192284,232346082,original,0.01148344,1
231992573,103803779,original,0.06712782,1
232002739,230569372,original,0.44288666,1
230457202,232897712,original,0.00685957,0
232070456,75598046,original,0.01070245,1
230453432,232446232,original,0.02994695,1
76865409,230965604,original,0.02665693,1
75598448,59826952,original,0.13200989,1
75600741,35516310,original,0.06653625,1
230519614,230519610,original,0.00591683,1
3845819,13272601,original,0.09241116,1
230415013,230415011,original,0.02489604,1
231993125,230444451,original,0.22977302,1
232354200,230451735,original,0.02344484,1
230465663,230465660,original,0.02319222,1
89273,230468417,original,0.09530795,0
230530253,232379211,original,0.12437075,1
230545776,80045321,original,0.08524032,1
21694323,230440000,original,0.00658661,1
234074001,232383230,original,0.09495438,1
230442136,230442132,original,0.01439075,0
51140228,230458963,original,0.06602851,1
204222931,18677622,original,0.00901846,1
230339760,232014505,original,0.08505872,1
230712278,232454063,original,0.01891276,1
230602315,230582497,original,0.01068236,1
230543288,87823676,original,0.11725364,1
230521240,230456370,original,0.06653504,1
230455592,2881274,original,0.0238309,0
54539980,2881274,original,0.28405557,1
3272544,3273965,original,0.0293406,1
27979553,82304496,original,0.05174276,1
230473471,230473461,original,0.06874826,1
6198280,57508662,original,0.02366876,1
75597403,230456319,original,0.0876296,1
232059818,230557037,original,0.02624859,1
232419651,230556839,original,0.03038015,1
232047756,232031839,original,0.25542439,1
5530440,10489593,original,0.01428274,1
3847417,232900752,original,0.00275225,1
230330054,10288849,original,0.34408189,1
230531175,2881274,original,1.06098057,1
75604333,2881273,original,0.03061323,0
232458515,234472313,original,0.00487222,1
230444850,232919400,original,0.034301,1
232064964,232073363,original,0.03531429,0
232037399,230437633,original,0.03964032,1
230439446,230439444,original,0.01308792,1
230530304,2881273,original,0.09980603,0
2855928,151078127,original,0.09342548,1
34381791,231995696,original,0.00828518,0
102054111,230526124,original,0.11521401,1
230095966,3329673,original,0.58462888,1
212359535,183140871,original,0.06119758,1
75600719,126949017,original,0.03321379,1
232900716,232431879,original,0.04198664,1
230437638,230437634,original,0.10417409,1
230395897,71928623,original,0.00623981,1
51762853,230451735,original,0.06064421,1
230468265,232409481,original,0.03116197,1
230456381,230578978,original,0.45721114,1
232017363,37231292,original,0.0403967,1
3420566,3877087,original,0.36841883,1
230411283,230411282,original,0.01324032,1
232441231,232441583,original,0.10073228,1
230452718,232438397,original,0.07304207,1
232431388,2864084,original,0.01754727,1
230438487,230438486,original,0.06159807,1
230345455,230393099,original,0.21331669,1
3272533,3273965,original,0.03375759,1
230456729,230578985,original,0.00653649,0
75604031,75600731,original,0.04874877,1
230468057,3882798,original,0.01685837,1
230473317,232907285,original,0.03301448,1
232893753,234419729,original,0.04514366,1
230451734,230451730,original,0.00642999,1
230658517,230658155,original,0.00716326,1
232923556,32477883,original,0.08878658,1
232377111,230550396,original,0.02658887,1
234431154,232088193,original,0.00229346,1
88713167,88669587,original,0.12768523,1
230400936,230400942,original,0.06903399,1
227325124,86228549,original,0.0211387,1
232403825,2758467,original,0.01025288,1
75600743,230455750,original,0.13573776,1
3416106,2758467,original,0.07571498,1
28798027,230528725,original,0.86859592,1
230330002,231992554,original,0.08243265,1
73119118,2881273,original,0.07928104,0
232000936,232432891,original,0.04074943,1
56657550,232395434,original,0.13267285,1
232447725,94235109,original,0.10541,1
89273,15087677,original,0.22359252,0
232895760,232895765,original,0.02663345,1
34074223,5256431,original,0.02952585,1
230659147,230658142,original,0.02801756,1
230530279,2881273,original,0.12860135,0
89273,230469660,original,0.30060725,1
3407031,230527751,original,0.02870716,1
230531980,14550058,original,0.02990503,1
230518409,232897724,original,0.07257699,0
230468835,232949441,original,0.03707124,1
232925786,232548801,original,0.15605674,1
231995671,230473477,original,0.00333884,1
3403763,232351322,original,0.0184619,1
230539741,231993291,original,0.01946963,1
230399793,230403088,original,0.00307507,1
232013890,232013889,original,0.01566438,1
230425290,88669588,original,0.01660274,1
230333961,232006917,original,0.03911201,1
231188282,151359615,original,0.18929646,1
230448375,230456710,original,0.03710243,1
230530243,232067014,original,0.01445122,1
218177683,232918438,original,0.04649802,1
232034293,230444849,original,0.17534643,1
230457366,230457202,original,0.01543449,1
232435633,232472253,original,0.01669427,1
89273,232444499,original,0.09732093,1
14090056,230670903,original,0.03816474,1
75597796,76865211,original,0.10828178,1
230440939,230440948,original,0.04897839,1
230527759,230527756,original,0.11555558,1
232075484,230566403,original,0.01437746,1
231987657,192823764,original,0.04907029,1
230339493,232034950,original,0.03866471,1
230531177,2881274,original,0.01157313,1
230538139,230552370,original,0.00762614,1
232948747,28023242,original,0.1133697,1
230454338,230454693,original,0.03267507,1
117438054,31730193,original,0.01459996,1
230336050,230601403,original,0.04436011,0
87844669,87823722,original,0.1927469,1
231182296,231193137,original,0.0032248,1
230456717,232438397,original,0.00826301,1
230575916,230440342,original,0.01644944,1
232008924,37231945,original,0.28748478,1
15478526,232058910,original,0.0698856,1
230452292,232000577,original,0.12502778,1
109931286,232431877,original,0.01267412,1
232464796,54735205,original,0.01299172,1
232346069,232029206,original,0.0852111,1
230459154,2925436,original,0.05339326,1
232006917,230407620,original,0.09618196,1
230336067,230595454,original,0.03974762,1
230326387,230419193,original,0.06951397,1
55286920,230739251,original,0.06018952,1
232894457,2716219,original,0.12660552,1
230724244,230459905,original,0.13112686,1
230526896,230526903,original,0.00712713,1
33137867,2880930,original,0.00335695,0
230530331,2881273,original,0.16564547,0
232027325,230440152,original,0.20706348,1
230465376,230465367,original,0.01462903,1
230459100,13805516,original,0.00534388,1
232012307,230470031,original,0.05606978,1
232669764,232034952,original,0.15213391,1
230541989,87823731,original,0.43046616,1
232069834,230455597,original,0.09250959,1
231997277,230473482,original,0.03187096,1
230468693,212363977,original,0.01704741,0
12946183,232383230,original,0.05047594,1
232423733,232424382,original,0.03476592,1
75597659,230455521,original,0.01472687,1
75607038,234015916,original,0.58187873,1
232895765,232401501,original,0.42409495,1
37232677,29846258,original,0.19461314,1
37231294,75597876,original,0.01648968,1
232038046,82166991,original,0.13890336,1
232399276,2758467,original,0.10726549,1
230556037,232438397,original,0.08467412,0
232027351,75600727,original,0.22304055,1
10463251,5291450,original,0.10671915,1
33095498,230405633,original,0.1209978,1
230531159,2881274,original,0.10691593,1
230611059,27447795,original,0.07494129,1
230456327,230456324,original,0.00585574,1
230530202,75600728,original,0.05504222,0
89522723,2881274,original,0.02554202,1
230522506,20847373,original,0.01071823,1
230401717,230401720,original,0.37462863,1
267262,232878163,original,0.3964499,1
230517601,232025998,original,0.25437766,1
230548968,87823698,original,0.06762728,1
230411242,2880930,original,0.25176734,1
232673965,230652612,original,0.05051241,1
230459078,230559750,original,0.06350458,1
14546770,232897813,original,0.01340449,1
